kb|g.3907.locus.19699	GO:0008643	biological_process	carbohydrate transport	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY7]
kb|g.3907.locus.19699	GO:0055085	biological_process	transmembrane transport	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY7]
kb|g.3907.locus.19699	GO:0016021	cellular_component	integral to membrane	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY7]
kb|g.3907.locus.19699	GO:0005351	molecular_function	sugar:hydrogen symporter activity	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY7]
kb|g.3907.locus.19699	GO:0000139	cellular_component	Golgi membrane	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY7]
kb|g.3907.locus.19959	GO:0016787	molecular_function	hydrolase activity	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY5]
kb|g.3907.locus.19653	GO:0046872	molecular_function	metal ion binding	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY6]
kb|g.3907.locus.19653	GO:0005515	molecular_function	protein binding	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY6]
kb|g.3907.locus.19653	GO:0005622	cellular_component	intracellular	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY6]
kb|g.3907.locus.19653	GO:0008270	molecular_function	zinc ion binding	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY6]
kb|g.3907.locus.19653	GO:0003676	molecular_function	nucleic acid binding	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY6]
kb|g.3907.locus.19653	GO:0004842	molecular_function	ubiquitin-protein ligase activity	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY6]
kb|g.3907.locus.19918	GO:0005634	cellular_component	nucleus	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY8]
kb|g.3907.locus.19918	GO:0048046	cellular_component	apoplast	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY8]
kb|g.3907.locus.19918	GO:0008152	biological_process	metabolic process	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY8]
kb|g.3907.locus.19918	GO:0003824	molecular_function	catalytic activity	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY8]
kb|g.3907.locus.19918	GO:0005737	cellular_component	cytoplasm	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY8]
kb|g.3907.locus.19918	GO:0016791	molecular_function	phosphatase activity	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY8]
kb|g.3907.locus.19918	GO:0005773	cellular_component	vacuole	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY8]
kb|g.3907.locus.19918	GO:0016787	molecular_function	hydrolase activity	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY8]
kb|g.3907.locus.19918	GO:0016311	biological_process	dephosphorylation	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY8]
kb|g.3907.locus.19918	GO:0009570	cellular_component	chloroplast stroma	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY8]
kb|g.3907.locus.19918	GO:0009507	cellular_component	chloroplast	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHY8]
kb|g.3907.locus.19527	GO:0045300	molecular_function	acyl-[acyl-carrier-protein] desaturase activity	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHZ3]
kb|g.3907.locus.19527	GO:0006631	biological_process	fatty acid metabolic process	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHZ3]
kb|g.3907.locus.19527	GO:0046914	molecular_function	transition metal ion binding	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHZ3]
kb|g.3907.locus.19527	GO:0055114	biological_process	oxidation-reduction process	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHZ3]
kb|g.3907.locus.19527	GO:0009507	cellular_component	chloroplast	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHZ3]
kb|g.3907.locus.19527	GO:0009570	cellular_component	chloroplast stroma	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHZ3]
kb|g.3907.locus.19527	GO:0016491	molecular_function	oxidoreductase activity	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHZ3]
kb|g.3907.locus.19887	GO:0005634	cellular_component	nucleus	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHZ0]
kb|g.3907.locus.19887	GO:0009909	biological_process	regulation of flower development	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHZ0]
kb|g.3907.locus.19887	GO:0005737	cellular_component	cytoplasm	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHZ0]
kb|g.3907.locus.19887	GO:0009911	biological_process	positive regulation of flower development	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHZ0]
kb|g.3907.locus.19887	GO:0048573	biological_process	photoperiodism, flowering	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9HHZ0]
kb|g.3907.locus.13582	GO:0006810	biological_process	transport	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9H7Q1]
kb|g.3907.locus.13582	GO:0016020	cellular_component	membrane	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9H7Q1]
kb|g.3907.locus.13582	GO:0055085	biological_process	transmembrane transport	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9H7Q1]
kb|g.3907.locus.13582	GO:0016021	cellular_component	integral to membrane	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9H7Q1]
kb|g.3907.locus.13582	GO:0005488	molecular_function	binding	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9H7Q1]
kb|g.3907.locus.13582	GO:0009507	cellular_component	chloroplast	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9H7Q1]
kb|g.3907.locus.12593	GO:0005829	cellular_component	cytosol	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9H574]
kb|g.3907.locus.12593	GO:0009507	cellular_component	chloroplast	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9H574]
kb|g.3907.locus.12593	GO:0003676	molecular_function	nucleic acid binding	IEA	Predicted protein [Source:UniProtKB/TrEMBL;Acc:B9H574]
